Company,Job_name,Applicants,Job_level,Employees,Followers,Industry,Job_type,City,State,Country,Unrequired
Bajaj Finserv,Manager - PL - Prime - T2(JR00105609),25,Entry level,10001+,914083,Financial Services,Full-time,Lucknow,Uttar Pradesh,India,12
JLL,Fire and Security Officer,7,Associate,10001+,1627082,Real Estate,Full-time,Noida,Uttar Pradesh,India,12
Bajaj Finserv,Zonal Manager - Debt Management Services - Rural(JR00105519),3,Entry level,10001+,914083,Financial Services,Full-time,Bengaluru,Karnataka,India,12
ICON plc,Logistics Coordinator II,96,Entry level,10001+,378427,Pharmaceutical Manufacturing,Full-time,Bengaluru,Karnataka,India,12
HSBC,Business Analyst/RBWM COO,20,Entry level,10001+,3193445,Financial Services,Full-time,Pune,Maharashtra,India,12
ZF Group,Connected Services Expert,0,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
PepsiCo,Associate Manager Reporting Factory - Report Production Analyst,2,Mid-Senior level,10001+,7012501,Food and Beverage Services,Full-time,Peerancheru,Telangana,India,12
State Street,"Emerging Leader, Global Billing Operations",0,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
ANZ,Engineer,2,Entry level,10001+,575389,Banking,Full-time,Bengaluru,Karnataka,India,12
JLL,Technical Executive,6,Mid-Senior level,10001+,1627082,Real Estate,Full-time,Hyderabad,Telangana,India,12
Bain & Company,"Manager, NPS Prism",1,Entry level,10001+,1597500,Business Consulting and Services,Full-time,Gurugram,Haryana,India,12
Wells Fargo,Data Management Manager,11,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Citi,Ops Support Analyst,14,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Manager - Fixed Deposits(JR00105542),1,Entry level,10001+,914083,Financial Services,Full-time,Krishnagiri,Tamil Nadu,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105583),1,Entry level,10001+,914083,Financial Services,Full-time,Mawal,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - PLCS - Growth(JR00105562),8,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - PLCS - Growth(JR00105567),5,Entry level,10001+,914083,Financial Services,Full-time,Kadapa Mandal,Andhra Pradesh,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105575),5,Entry level,10001+,914083,Financial Services,Full-time,Raigarh,Chhattisgarh,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Rural(JR00105556),0,Entry level,10001+,914083,Financial Services,Full-time,Firozpur,Punjab,India,12
Shell,Data Account and Assets Analyst,0,Entry level,10001+,6146712,Oil and Gas,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Manager - IT(JR00105592),17,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Barclays,Progression Analyst,6,Associate,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
HSBC,Consultant Specialist,0,Entry level,10001+,3193445,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105586),1,Entry level,10001+,914083,Financial Services,Full-time,Phaltan,Maharashtra,India,12
PepsiCo,Deputy Manager- Reporting Factory - Report Production Analyst,0,Mid-Senior level,10001+,7012501,Food and Beverage Services,Full-time,Peerancheru,Telangana,India,12
ZF Group,Specialist - Cyber Security,44,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Wells Fargo,Lead Data Management Analyst,0,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Hyderabad,Telangana,India,12
ZF Group,Senior System Engineer,21,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Lead - Payments - EDC(JR00105563),6,Entry level,10001+,914083,Financial Services,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - SME(JR00105536),10,Entry level,10001+,914083,Financial Services,Full-time,Delhi,Delhi,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - SME(JR00105545),8,Entry level,10001+,914083,Financial Services,Full-time,Udaipur,Rajasthan,India,12
Wells Fargo,Lead Data Management Analyst,2,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Hyderabad,Telangana,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - SME(JR00105618),4,Entry level,10001+,914083,Financial Services,Full-time,Jodhpur,Rajasthan,India,12
Gartner,Recruiting Program Specialist,66,Entry level,10001+,1496350,Information Services,Full-time,Gurgaon,Haryana,India,12
ANZ,Engineer,0,Entry level,10001+,575389,Banking,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105581),2,Entry level,10001+,914083,Financial Services,Full-time,Kadi,Gujarat,India,12
EPAM Systems,Microsoft Technology - Lead Software Engineer (.NET Core and Angular),7,Associate,10001+,822417,IT Services and IT Consulting,Full-time,Bisra,Odisha,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00105528),11,Entry level,10001+,914083,Financial Services,Full-time,Delhi,Delhi,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105579),0,Entry level,10001+,914083,Financial Services,Full-time,Kheda,Gujarat,India,12
Bajaj Finserv,Zonal Manager - Debt Management Services - Rural(JR00105615),5,Entry level,10001+,914083,Financial Services,Full-time,Coimbatore,Tamil Nadu,India,12
DBS Bank,CSO - Borivali Branch,0,Executive,10001+,802246,Banking,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105577),1,Entry level,10001+,914083,Financial Services,Full-time,Amreli,Gujarat,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105557),0,Entry level,10001+,914083,Financial Services,Full-time,Guhla,Haryana,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105576),0,Entry level,10001+,914083,Financial Services,Full-time,Rajula,Gujarat,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105580),0,Entry level,10001+,914083,Financial Services,Full-time,Surendranagar,Gujarat,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00105525),2,Entry level,10001+,914083,Financial Services,Full-time,Nashik,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - Credit Operations(JR00105547),17,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - PL - Prime - T2(JR00105532),11,Entry level,10001+,914083,Financial Services,Full-time,Jamshedpur,Jharkhand,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00105527),3,Entry level,10001+,914083,Financial Services,Full-time,Valsad,Gujarat,India,12
EY,Consultant - Assurance - National - Sustainability Services,2,Mid-Senior level,10001+,7139182,Professional Services,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105578),2,Entry level,10001+,914083,Financial Services,Full-time,Nadiad,Gujarat,India,12
Sanofi,Regulatory Head - GEMS,25,Mid-Senior level,10001+,3404440,Pharmaceutical Manufacturing,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Assistant Manager - Credit Operations(JR00105533),5,Entry level,10001+,914083,Financial Services,Full-time,Surat,Gujarat,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105573),0,Entry level,10001+,914083,Financial Services,Full-time,Nilokheri,Haryana,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105570),1,Entry level,10001+,914083,Financial Services,Full-time,Udham Singh Nagar,Uttarakhand,India,12
Bajaj Finserv,Assistant Manager - PL - Prime - T2(JR00105531),3,Entry level,10001+,914083,Financial Services,Full-time,Kakinada,Andhra Pradesh,India,12
Stryker,Technical Support Engineer 2,20,Associate,10001+,1038717,Medical Equipment Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Stryker,Technical Support Engineer 2,9,Associate,10001+,1038717,Medical Equipment Manufacturing,Full-time,Bengaluru,Karnataka,India,12
NTT,Technical Specialist,4,Mid-Senior level,10001+,128755,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105569),4,Entry level,10001+,914083,Financial Services,Full-time,Rudrapur,Uttarakhand,India,12
Barclays,Vector Support Analyst,2,Associate,10001+,1336879,Financial Services,Full-time,Pune,Maharashtra,India,12
Stryker,Technical Support Engineer 2,12,Associate,10001+,1038717,Medical Equipment Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105559),0,Entry level,10001+,914083,Financial Services,Full-time,Balachaur,Punjab,India,12
Bajaj Finserv,Assistant Manager - CD - Growth North & East(JR00105534),5,Entry level,10001+,914083,Financial Services,Full-time,Jamalpur,Bihar,India,12
Bajaj Finserv,Executive - Credit Operations(JR00105617),1,Entry level,10001+,914083,Financial Services,Full-time,Amalner,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105574),3,Entry level,10001+,914083,Financial Services,Full-time,Barara,Haryana,India,12
Citi,Credit Risk QA Analyst | Officer | Chennai | R22095871,27,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Citi,Trade RM - Process Automation,3,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Caterpillar Inc.,AIT - Tax Provision and Financial Reporting,3,Entry level,10001+,1518744,Machinery Manufacturing,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - SME(JR00105535),3,Entry level,10001+,914083,Financial Services,Full-time,Kolkata,West Bengal,India,12
Bajaj Finserv,Assistant Manager - SALPL - Growth(JR00105587),6,Entry level,10001+,914083,Financial Services,Full-time,Hazaribag,Jharkhand,India,12
Bajaj Finserv,Deputy Area Manager - Debt Management Services - Rural(JR00105591),0,Entry level,10001+,914083,Financial Services,Full-time,Kamuthi,Tamil Nadu,India,12
Bajaj Finserv,Manager - CD - Growth North & East(JR00105589),4,Entry level,10001+,914083,Financial Services,Full-time,Darbhanga,Bihar,India,12
Citi,Business Analytics Analyst,14,Entry level,10001+,3969089,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105560),1,Entry level,10001+,914083,Financial Services,Full-time,Malerkotla,Punjab,India,12
Syneos Health,SW Technical Lead (Apex),0,Entry level,10001+,400407,Biotechnology Research,Full-time,Hyderabad,Telangana,India,12
NatWest Group,Customer Service & Operations Analyst,18,Associate,10001+,541014,Banking,Full-time,Chennai,Tamil Nadu,India,12
Wells Fargo,Lead Data Management Analyst,4,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Hyderabad,Telangana,India,12
Aster DM Healthcare,Associate.Outpatient Services.Aster CMI Hospital Bangalore,5,Entry level,10001+,312340,Hospitals and Health Care,Full-time,Bengaluru,Karnataka,India,12
Siemens Healthineers,SAP IT Consultant SAP Customer Service (CS),10,Mid-Senior level,10001+,876338,Hospitals and Health Care,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Senior System Operations Engineer,3,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Hyderabad,Telangana,India,12
DBS Bank,CSO Executive,0,Executive,10001+,802246,Banking,Full-time,Bengaluru,Karnataka,India,12
ANZ,Engineer,14,Entry level,10001+,575389,Banking,Full-time,Bengaluru,Karnataka,India,12
Philips,FP&A Analyst Deputy Manager,3,Entry level,10001+,2196468,Hospitals and Health Care,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105572),1,Entry level,10001+,914083,Financial Services,Full-time,Rohtak,Haryana,India,12
ZF Group,Senior Software Engineer,1,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
JLL,Assistant Manager - Billing,11,Mid-Senior level,10001+,1627082,Real Estate,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105546),6,Entry level,10001+,914083,Financial Services,Full-time,Shahdol,Madhya Pradesh,India,12
ZF Group,Senior Software Engineer,12,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
ZF Group,Senior Software Engineer,7,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00105526),6,Entry level,10001+,914083,Financial Services,Full-time,Kolkata,West Bengal,India,12
NCR Corporation,IT Helpdesk Analyst,18,Entry level,10001+,440749,IT Services and IT Consulting,Full-time,Mumbai,Maharashtra,India,12
Prysmian Group,HR Assistant,10,Entry level,10001+,324724,Consumer Goods,Full-time,Sohar,Madhya Pradesh,India,12
Bajaj Finserv,Manager - SALPL - Prime(JR00098158),6,Entry level,10001+,914083,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Alcon,"Head Marketing Vison Care, India",22,Director,10001+,522987,Medical Equipment Manufacturing,Full-time,Bengaluru,Karnataka,India,12
"KBR, Inc.",Project Engineer,55,Entry level,10001+,529441,Professional Services,Full-time,Chennai,Tamil Nadu,India,12
State Street,Global Anti-Money Laundering Center - Vice President,2,Entry level,10001+,467954,Financial Services,Full-time,Hyderabad,Telangana,India,12
Shell,Associate Project Manager-V&C,1,Entry level,10001+,6146712,Oil and Gas,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Data Management Analyst,7,Associate,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
ZF Group,Functional Safety Manager,25,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105568),1,Entry level,10001+,914083,Financial Services,Full-time,Firozpur,Punjab,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105558),0,Entry level,10001+,914083,Financial Services,Full-time,Firozpur,Punjab,India,12
HSBC,Analyst – Global CDD Utility-GSC’s,15,Entry level,10001+,3193445,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Mott MacDonald,Chief Bridge Engineer,0,Mid-Senior level,10001+,544632,Civil Engineering,Contract,Prayagraj,Uttar Pradesh,India,12
Bajaj Finserv,Assistant Manager - Professional Loans(JR00105550),9,Entry level,10001+,914083,Financial Services,Full-time,Ranchi,Jharkhand,India,12
Citi,Specialized Analytics Manager,9,Entry level,10001+,3969089,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - BFS Direct(JR00105601),7,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Barclays,Process Advisor,7,Associate,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Zonal Manager - Debt Management Services - Rural(JR00105597),4,Entry level,10001+,914083,Financial Services,Full-time,Vijayawada,Andhra Pradesh,India,12
Barclays,Analyst,26,Associate,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
OpenText,Consultant - Info Archive,2,Mid-Senior level,10001+,270900,Software Development,Full-time,Hyderabad,Telangana,India,12
HP,Cloud Data Engineer,18,Mid-Senior level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
HP,Cloud Data Engineer,23,Mid-Senior level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
ZF Group,Senior Team Leader,9,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Citi,Senior Data scientist / Principal Data science analyst,27,Entry level,10001+,3969089,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Area Manager - Business Loans/Senior Area Manager - Business Loans(JR00105555),5,Entry level,10001+,914083,Financial Services,Full-time,Bengaluru,Karnataka,India,12
"KBR, Inc.",Associate Designer (HCL),8,Entry level,10001+,529441,Professional Services,Full-time,Chennai,Tamil Nadu,India,12
Bajaj Finserv,Assistant Manager - PLCS - Growth(JR00105523),9,Entry level,10001+,914083,Financial Services,Full-time,Ghazipur,Uttar Pradesh,India,12
Bajaj Finserv,Executive Assistant(JR00105614),44,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Tech Mahindra,Customer Support Associate,21,Entry level,10001+,4114042,IT Services and IT Consulting,Full-time,Bhubaneswar,Odisha,India,12
Synchrony,"Manager, Risk Data Governance, Credit Analytics (L09)",5,Associate,10001+,112276,Financial Services,Full-time,Hyderabad,Telangana,India,12
HSBC,Consultant Specialist/Enterprise Technology,0,Entry level,10001+,3193445,Financial Services,Full-time,Hyderabad,Telangana,India,12
"KBR, Inc.",Technical Professional - Piping TechM,1,Mid-Senior level,10001+,529441,Professional Services,Full-time,Pune,Maharashtra,India,12
HP,ALPACA Privacy IT Developer.,2,Entry level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Wells Fargo,Senior Data Management Analyst,6,Mid-Senior level,10001+,2087385,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Senior Data Engineer(JR00105590),5,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
State Street,Fund Accounting & Administration - Associate 2,3,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
LTIMindtree,LTIMindtree Hiring SAP Project Manager- PAN India,0,Mid-Senior level,10001+,200347,IT Services and IT Consulting,Full-time,Gurgaon,Haryana,India,12
HP,Senior Data Scientist,24,Mid-Senior level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Deputy Area Manager - Debt Management Services - SME(JR00105544),3,Entry level,10001+,914083,Financial Services,Full-time,Vellore,Tamil Nadu,India,12
Bajaj Finserv,Executive - Debt Management Services - Rural(JR00105571),2,Entry level,10001+,914083,Financial Services,Full-time,Pataudi,Haryana,India,12
Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00105616),1,Entry level,10001+,914083,Financial Services,Full-time,Panipat,Haryana,India,12
Citi,Specialized Analytics Intermediate Analyst - CCAR - CECL - Unsecured Production and Monitoring,0,Entry level,10001+,3969089,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Manager - Administration(JR00105521),55,Entry level,10001+,914083,Financial Services,Full-time,Ranaghat-I,West Bengal,India,12
Bajaj Finserv,Unit Manager - Human Resources/Senior Unit Manager - Human Resources(JR00105611),13,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
HP,Senior Cloud Data Engineer,5,Mid-Senior level,10001+,5168340,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Nestlé,Team Leader Operations Chilled Dairy Sheikhupura Factory,44,Entry level,10001+,14247989,Food and Beverage Services,Full-time,Jagraon,Punjab,India,12
State Street,Financial Reporting - Manager,18,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Senior Data Engineer(JR00105588),12,Entry level,10001+,914083,Financial Services,Full-time,Pune,Maharashtra,India,12
Bajaj Finserv,Area Manager - CD - SBU/Senior Area Manager - CD - SBU(JR00105530),7,Entry level,10001+,914083,Financial Services,Full-time,Mumbai,Maharashtra,India,12
State Street,Manager – Strategic Communications,18,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
ZF Group,Functional Safety Specialist,26,Mid-Senior level,10001+,915680,Motor Vehicle Manufacturing,Full-time,Chennai,Tamil Nadu,India,12
Barclays,Workday Report Developer,4,Mid-Senior level,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
PepsiCo,SC Agro Assoc Analyst,25,Entry level,10001+,7012501,Food and Beverage Services,Full-time,Kolkata,West Bengal,India,12
Bajaj Finserv,Assistant Manager - BFS Direct(JR00105602),35,Entry level,10001+,914083,Financial Services,Full-time,Delhi,Delhi,India,12
Bajaj Finserv,Area Manager - Debt Management Services - Consumer/Senior Area Manager - Debt Management Services - Consumer(JR00105624),5,Entry level,10001+,914083,Financial Services,Full-time,Hyderabad,Telangana,India,12
The Weir Group PLC,Engineering Contractor,8,Entry level,10001+,47524,Industrial Machinery Manufacturing,Full-time,Bengaluru,Karnataka,India,12
LTIMindtree,Mainframe Developer- PAN India,12,Mid-Senior level,10001+,200347,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
State Street,Business Risk Management - Team Leader,5,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
Citi,Payment & Receivables Officer,54,Entry level,10001+,3969089,Financial Services,Full-time,Kolkata,West Bengal,India,12
NCR Corporation,IT Analyst - CATM Helpdesk,8,Entry level,10001+,440749,IT Services and IT Consulting,Full-time,Mumbai,Maharashtra,India,12
Bajaj Finserv,Regional Manager - Debt Management Services - Rural/Senior Regional Manager - Debt Management Services - Rural(JR00105598),5,Entry level,10001+,914083,Financial Services,Full-time,Kangra,Himachal Pradesh,India,12
Barclays,Analyst - Treasury Finance,13,Associate,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
Citi,Service Supervisor,6,Entry level,10001+,3969089,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
State Street,200 - Core Operations - Associate 2,8,Entry level,10001+,467954,Financial Services,Full-time,Bengaluru,Karnataka,India,12
OpenText,Sr. Software Engineer - SFDC,21,Mid-Senior level,10001+,270900,Software Development,Full-time,Hyderabad,Telangana,India,12
JLL,Operation Manager,60,Mid-Senior level,10001+,1627082,Real Estate,Full-time,Ahmedabad,Gujarat,India,12
LTIMindtree,Mainframe Developer- PAN India,21,Mid-Senior level,10001+,200347,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Bajaj Finserv,Assistant Manager - SALPL - Growth(JR00105543),2,Entry level,10001+,914083,Financial Services,Full-time,Jodhpur,Rajasthan,India,12
NTT,Database Administrator,16,Entry level,10001+,128755,IT Services and IT Consulting,Full-time,Mumbai,Maharashtra,India,12
HYATT Hotels,Spa Therapist,12,Entry level,10001+,18133,Hospitality,Full-time,Hyderabad,Telangana,India,12
Mahindra Group,Deputy Manager Mobility Solutions,1,Mid-Senior level,10001+,1128477,Executive Offices,Full-time,Bengaluru,Karnataka,India,12
Tata Consultancy Services,SNAP LOGIC,26,Mid-Senior level,10001+,11800582,IT Services and IT Consulting,Full-time,Bengaluru,Karnataka,India,12
Barclays,Vice President ALM Reporting,10,Mid-Senior level,10001+,1336879,Financial Services,Full-time,Chennai,Tamil Nadu,India,12
